year,month,state,no_of_fires,date
2004,Dec,Minas Gerais,125,1/1/2004
2005,Dec,Minas Gerais,65,1/1/2005
2006,Dec,Minas Gerais,32,1/1/2006
2007,Dec,Minas Gerais,95,1/1/2007
2008,Dec,Minas Gerais,25,1/1/2008
2009,Dec,Minas Gerais,108,1/1/2009
2010,Dec,Minas Gerais,105,1/1/2010
2011,Dec,Minas Gerais,43,1/1/2011
2012,Dec,Minas Gerais,189,1/1/2012
2013,Dec,Minas Gerais,98,1/1/2013
2014,Dec,Minas Gerais,155,1/1/2014
2015,Dec,Minas Gerais,295,1/1/2015
2016,Dec,Minas Gerais,91,1/1/2016
1998,Jan,pará,0,1/1/1998
1999,Jan,pará,87,1/1/1999
2000,Jan,pará,30,1/1/2000
2001,Jan,pará,34,1/1/2001
2002,Jan,pará,144,1/1/2002
2003,Jan,pará,,1/1/2003
2004,Jan,pará,579,1/1/2004
2005,Jan,pará,1.768,1/1/2005
2006,Jan,pará,403,1/1/2006
2007,Jan,pará,467,1/1/2007
2008,Jan,pará,131,1/1/2008
2009,Jan,pará,241,1/1/2009
2010,Jan,pará,437,1/1/2010
2011,Jan,pará,108,1/1/2011
2012,Jan,pará,392,1/1/2012
2013,Jan,pará,167,1/1/2013
2014,Jan,pará,251,1/1/2014
2015,Jan,pará,725,1/1/2015
2016,Jan,pará,1.322,1/1/2016
2017,Jan,pará,219,1/1/2017
1998,Feb,pará,0,1/1/1998
1999,Feb,pará,285,1/1/1999
2000,Feb,pará,29,1/1/2000
2001,Feb,pará,16,1/1/2001
2002,Feb,pará,120,1/1/2002
2003,Feb,pará,34,1/1/2003
2004,Feb,pará,20,1/1/2004
2005,Feb,pará,85,1/1/2005
2006,Feb,pará,49,1/1/2006
2007,Feb,pará,23,1/1/2007
2008,Feb,pará,54,1/1/2008
2009,Feb,pará,15,1/1/2009
2010,Feb,pará,102,1/1/2010
2011,Feb,pará,13,1/1/2011
2012,Feb,pará,63,1/1/2012
2013,Feb,pará,30,1/1/2013
2014,Feb,pará,37,1/1/2014
2015,Feb,pará,108,1/1/2015
2016,Feb,pará,430,1/1/2016
2017,Feb,pará,14,1/1/2017
1998,Mar,pará,0,1/1/1998
1999,Mar,pará,7,1/1/1999
2000,Mar,pará,181,1/1/2000
2001,Mar,pará,0,1/1/2001
2002,Mar,pará,14,1/1/2002
2003,Mar,pará,27,1/1/2003
2004,Mar,pará,22,1/1/2004
2005,Mar,pará,21,1/1/2005
2006,Mar,pará,10,1/1/2006
2007,Mar,pará,6,1/1/2007
2008,Mar,pará,4,1/1/2008
2009,Mar,pará,4,1/1/2009
2010,Mar,pará,110,1/1/2010
2011,Mar,pará,,1/1/2011
2012,Mar,pará,30,1/1/2012
2013,Mar,pará,19,1/1/2013
2014,Mar,pará,34,1/1/2014
2015,Mar,pará,61,1/1/2015
2016,Mar,pará,81,1/1/2016
2017,Mar,pará,42,1/1/2017
1998,Apr,pará,0,1/1/1998
1999,Apr,pará,6,1/1/1999
2000,Apr,pará,40,1/1/2000
2001,Apr,pará,0,1/1/2001
2002,Apr,pará,11,1/1/2002
2003,Apr,pará,14,1/1/2003
2004,Apr,pará,23,1/1/2004
2005,Apr,pará,14,1/1/2005
2006,Apr,pará,2,1/1/2006
2007,Apr,pará,0,1/1/2007
2008,Apr,pará,7,1/1/2008
2009,Apr,pará,8,1/1/2009
2010,Apr,pará,22,1/1/2010
2011,Apr,pará,10,1/1/2011
2012,Apr,pará,11,1/1/2012
2013,Apr,pará,20,1/1/2013
2014,Apr,pará,27,1/1/2014
2015,Apr,pará,27,1/1/2015
2016,Apr,pará,66,1/1/2016
2017,Apr,pará,45,1/1/2017
1998,May,pará,0,1/1/1998
1999,May,pará,4,1/1/1999
2000,May,pará,12,1/1/2000
2001,May,pará,7,1/1/2001
2002,May,pará,18,1/1/2002
2003,May,pará,3,1/1/2003
2004,May,pará,44,1/1/2004
2005,May,pará,37,1/1/2005
2006,May,pará,0,1/1/2006
2007,May,pará,,1/1/2007
2008,May,pará,0,1/1/2008
2009,May,pará,7,1/1/2009
2010,May,pará,57,1/1/2010
2011,May,pará,16,1/1/2011
2012,May,pará,59,1/1/2012
2013,May,pará,42,1/1/2013
2014,May,pará,70,1/1/2014
2015,May,pará,95,1/1/2015
2016,May,pará,154,1/1/2016
2017,May,pará,114,1/1/2017
1998,Jun,pará,58,1/1/1998
1999,Jun,pará,37,1/1/1999
2000,Jun,pará,59,1/1/2000
2001,Jun,pará,42,1/1/2001
2002,Jun,pará,149,1/1/2002
2003,Jun,pará,64,1/1/2003
2004,Jun,pará,340,1/1/2004
2005,Jun,pará,304,1/1/2005
2006,Jun,pará,78,1/1/2006
2007,Jun,pará,129,1/1/2007
2008,Jun,pará,48,1/1/2008
2009,Jun,pará,38,1/1/2009
2010,Jun,pará,94,1/1/2010
2011,Jun,pará,105,1/1/2011
2012,Jun,pará,183,1/1/2012
2013,Jun,pará,173,1/1/2013
2014,Jun,pará,319,1/1/2014
2015,Jun,pará,265,1/1/2015
2016,Jun,pará,502,1/1/2016
2017,Jun,pará,679,1/1/2017
1998,Jul,pará,638,1/1/1998
1999,Jul,pará,,1/1/1999
2000,Jul,pará,426,1/1/2000
2001,Jul,pará,708,1/1/2001
2002,Jul,pará,772,1/1/2002
2003,Jul,pará,1.571,1/1/2003
2004,Jul,pará,4.436,1/1/2004
2005,Jul,pará,4.364,1/1/2005
2006,Jul,pará,615,1/1/2006
2007,Jul,pará,,1/1/2007
2008,Jul,pará,971,1/1/2008
2009,Jul,pará,397,1/1/2009
2010,Jul,pará,1.432,1/1/2010
2011,Jul,pará,632,1/1/2011
2012,Jul,pará,661,1/1/2012
2013,Jul,pará,447,1/1/2013
2014,Jul,pará,825,1/1/2014
2015,Jul,pará,906,1/1/2015
2016,Jul,pará,1.579,1/1/2016
2017,Jul,pará,4.985,1/1/2017
1998,Aug,pará,6.815,1/1/1998
1999,Aug,pará,6.178,1/1/1999
2000,Aug,pará,5.484,1/1/2000
2001,Aug,pará,9.043,1/1/2001
2002,Aug,pará,15.664,1/1/2002
2003,Aug,pará,6.255,1/1/2003
2004,Aug,pará,12.812,1/1/2004
2005,Aug,pará,13.055,1/1/2005
2006,Aug,pará,7.575,1/1/2006
2007,Aug,pará,14.352,1/1/2007
2008,Aug,pará,4.435,1/1/2008
2009,Aug,pará,3.859,1/1/2009
2010,Aug,pará,18.13,1/1/2010
2011,Aug,pará,2.195,1/1/2011
2012,Aug,pará,6.964,1/1/2012
2013,Aug,pará,2.161,1/1/2013
2014,Aug,pará,8.555,1/1/2014
2015,Aug,pará,7.913,1/1/2015
2016,Aug,pará,4.863,1/1/2016
2017,Aug,pará,11.962,1/1/2017
1998,Sep,pará,6.237,1/1/1998
1999,Sep,pará,4.419,1/1/1999
2000,Sep,pará,2.569,1/1/2000
2001,Sep,pará,6.139,1/1/2001
2002,Sep,pará,5.609,1/1/2002
2003,Sep,pará,8.447,1/1/2003
2004,Sep,pará,9.471,1/1/2004
2005,Sep,pará,9.032,1/1/2005
2006,Sep,pará,8.372,1/1/2006
2007,Sep,pará,14.59,1/1/2007
2008,Sep,pará,6.294,1/1/2008
2009,Sep,pará,6.051,1/1/2009
2010,Sep,pará,10.81,1/1/2010
2011,Sep,pará,5.185,1/1/2011
2012,Sep,pará,6.87,1/1/2012
2013,Sep,pará,3.36,1/1/2013
2014,Sep,pará,6.787,1/1/2014
2015,Sep,pará,11.068,1/1/2015
2016,Sep,pará,3.953,1/1/2016
2017,Sep,pará,25.004,1/1/2017
1998,Oct,pará,3.665,1/1/1998
1999,Oct,pará,5.026,1/1/1999
2000,Oct,pará,4.313,1/1/2000
2001,Oct,pará,5.096,1/1/2001
2002,Oct,pará,5.189,1/1/2002
2003,Oct,pará,3.803,1/1/2003
2004,Oct,pará,4.726,1/1/2004
2005,Oct,pará,5.083,1/1/2005
2006,Oct,pará,5.964,1/1/2006
2007,Oct,pará,2.504,1/1/2007
2008,Oct,pará,6.653,1/1/2008
2009,Oct,pará,6.342,1/1/2009
2010,Oct,pará,3.843,1/1/2010
2011,Oct,pará,3.141,1/1/2011
2012,Oct,pará,3.714,1/1/2012
2013,Oct,pará,4.921,1/1/2013
2014,Oct,pará,6.448,1/1/2014
2015,Oct,pará,7.781,1/1/2015
2016,Oct,pará,5.281,1/1/2016
2017,Oct,pará,7.628,1/1/2017
1998,Nov,pará,1.861,1/1/1998
1999,Nov,pará,2.682,1/1/1999
2000,Nov,pará,3.366,1/1/2000
2001,Nov,pará,4.938,1/1/2001
2002,Nov,pará,7.996,1/1/2002
2003,Nov,pará,6.195,1/1/2003
2004,Nov,pará,9.842,1/1/2004
2005,Nov,pará,4.968,1/1/2005
2006,Nov,pará,2.883,1/1/2006
2007,Nov,pará,2.89,1/1/2007
2008,Nov,pará,2.403,1/1/2008
2009,Nov,pará,10.012,1/1/2009
2010,Nov,pará,4.417,1/1/2010
2011,Nov,pará,3.043,1/1/2011
2012,Nov,pará,6.156,1/1/2012
2013,Nov,pará,3.688,1/1/2013
2014,Nov,pará,7.767,1/1/2014
2015,Nov,pará,9.643,1/1/2015
2016,Nov,pará,7.879,1/1/2016
2017,Nov,pará,9.079,1/1/2017
1998,Dec,pará,1.008,1/1/1998
1999,Dec,pará,766,1/1/1999
2000,Dec,pará,1.698,1/1/2000
2001,Dec,pará,2.564,1/1/2001
2002,Dec,pará,3.118,1/1/2002
2003,Dec,pará,4.787,1/1/2003
2004,Dec,pará,5.508,1/1/2004
2005,Dec,pará,1.495,1/1/2005
2006,Dec,pará,1.417,1/1/2006
2007,Dec,pará,689,1/1/2007
2008,Dec,pará,684,1/1/2008
2009,Dec,pará,2.832,1/1/2009
2010,Dec,pará,1.612,1/1/2010
2011,Dec,pará,3.218,1/1/2011
2012,Dec,pará,1.812,1/1/2012
2013,Dec,pará,5.514,1/1/2013
2014,Dec,pará,4.828,1/1/2014
2015,Dec,pará,6.61,1/1/2015
2016,Dec,pará,3.3,1/1/2016
1998,Jan,Paraiba,0,1/1/1998
1999,Jan,Paraiba,26,1/1/1999
2000,Jan,Paraiba,0,1/1/2000
2001,Jan,Paraiba,11,1/1/2001
2002,Jan,Paraiba,5,1/1/2002
2003,Jan,Paraiba,70,1/1/2003
2004,Jan,Paraiba,33,1/1/2004
2005,Jan,Paraiba,178,1/1/2005
2006,Jan,Paraiba,83,1/1/2006
2007,Jan,Paraiba,69,1/1/2007
2008,Jan,Paraiba,77,1/1/2008
2009,Jan,Paraiba,115,1/1/2009
2010,Jan,Paraiba,46,1/1/2010
2011,Jan,Paraiba,11,1/1/2011
2012,Jan,Paraiba,61,1/1/2012
2013,Jan,Paraiba,38,1/1/2013
2014,Jan,Paraiba,75,1/1/2014
2015,Jan,Paraiba,42,1/1/2015
2016,Jan,Paraiba,18,1/1/2016
2017,Jan,Paraiba,23,1/1/2017
1998,Feb,Paraiba,0,1/1/1998
1999,Feb,Paraiba,2,1/1/1999
2000,Feb,Paraiba,11,1/1/2000
2001,Feb,Paraiba,6,1/1/2001
2002,Feb,Paraiba,18,1/1/2002
2003,Feb,Paraiba,3,1/1/2003
2004,Feb,Paraiba,3,1/1/2004
2005,Feb,Paraiba,15,1/1/2005
2006,Feb,Paraiba,7,1/1/2006
2007,Feb,Paraiba,7,1/1/2007
2008,Feb,Paraiba,20,1/1/2008
2009,Feb,Paraiba,9,1/1/2009
2010,Feb,Paraiba,15,1/1/2010
2011,Feb,Paraiba,5,1/1/2011
2012,Feb,Paraiba,15,1/1/2012
2013,Feb,Paraiba,9,1/1/2013
2014,Feb,Paraiba,6,1/1/2014
2015,Feb,Paraiba,15,1/1/2015
2016,Feb,Paraiba,4,1/1/2016
2017,Feb,Paraiba,8,1/1/2017
1998,Mar,Paraiba,0,1/1/1998
1999,Mar,Paraiba,1,1/1/1999
2000,Mar,Paraiba,,1/1/2000
2001,Mar,Paraiba,0,1/1/2001
2002,Mar,Paraiba,3,1/1/2002
2003,Mar,Paraiba,0,1/1/2003
2004,Mar,Paraiba,3,1/1/2004
2005,Mar,Paraiba,13,1/1/2005
2006,Mar,Paraiba,4,1/1/2006
2007,Mar,Paraiba,1,1/1/2007
2008,Mar,Paraiba,8,1/1/2008
2009,Mar,Paraiba,2,1/1/2009
2010,Mar,Paraiba,16,1/1/2010
2011,Mar,Paraiba,6,1/1/2011
2012,Mar,Paraiba,4,1/1/2012
2013,Mar,Paraiba,3,1/1/2013
2014,Mar,Paraiba,18,1/1/2014
2015,Mar,Paraiba,7,1/1/2015
2016,Mar,Paraiba,1,1/1/2016
2017,Mar,Paraiba,2,1/1/2017
1998,Apr,Paraiba,0,1/1/1998
1999,Apr,Paraiba,,1/1/1999
2000,Apr,Paraiba,1,1/1/2000
2001,Apr,Paraiba,0,1/1/2001
2002,Apr,Paraiba,1,1/1/2002
2003,Apr,Paraiba,0,1/1/2003
2004,Apr,Paraiba,3,1/1/2004
2005,Apr,Paraiba,2,1/1/2005
2006,Apr,Paraiba,0,1/1/2006
2007,Apr,Paraiba,0,1/1/2007
2008,Apr,Paraiba,0,1/1/2008
2009,Apr,Paraiba,1,1/1/2009
2010,Apr,Paraiba,2,1/1/2010
2011,Apr,Paraiba,2,1/1/2011
2012,Apr,Paraiba,13,1/1/2012
2013,Apr,Paraiba,6,1/1/2013
2014,Apr,Paraiba,8,1/1/2014
2015,Apr,Paraiba,11,1/1/2015
2016,Apr,Paraiba,1,1/1/2016
2017,Apr,Paraiba,1,1/1/2017
1998,May,Paraiba,0,1/1/1998
1999,May,Paraiba,0,1/1/1999
2000,May,Paraiba,0,1/1/2000
2001,May,Paraiba,4,1/1/2001
2002,May,Paraiba,1,1/1/2002
2003,May,Paraiba,0,1/1/2003
2004,May,Paraiba,1,1/1/2004
2005,May,Paraiba,0,1/1/2005
2006,May,Paraiba,0,1/1/2006
2007,May,Paraiba,0,1/1/2007
2008,May,Paraiba,0,1/1/2008
2009,May,Paraiba,0,1/1/2009
2010,May,Paraiba,10,1/1/2010
2011,May,Paraiba,0,1/1/2011
2012,May,Paraiba,10,1/1/2012
2013,May,Paraiba,3,1/1/2013
2014,May,Paraiba,1,1/1/2014
2015,May,Paraiba,6,1/1/2015
2016,May,Paraiba,1,1/1/2016
2017,May,Paraiba,1,1/1/2017
1998,Jun,Paraiba,3,1/1/1998
1999,Jun,Paraiba,1,1/1/1999
2000,Jun,Paraiba,2,1/1/2000
2001,Jun,Paraiba,0,1/1/2001
2002,Jun,Paraiba,1,1/1/2002
2003,Jun,Paraiba,0,1/1/2003
2004,Jun,Paraiba,0,1/1/2004
2005,Jun,Paraiba,0,1/1/2005
2006,Jun,Paraiba,0,1/1/2006
2007,Jun,Paraiba,0,1/1/2007
2008,Jun,Paraiba,0,1/1/2008
2009,Jun,Paraiba,0,1/1/2009
2010,Jun,Paraiba,3,1/1/2010
2011,Jun,Paraiba,2,1/1/2011
2012,Jun,Paraiba,5,1/1/2012
2013,Jun,Paraiba,3,1/1/2013
2014,Jun,Paraiba,1,1/1/2014
2015,Jun,Paraiba,0,1/1/2015
2016,Jun,Paraiba,4,1/1/2016
2017,Jun,Paraiba,0,1/1/2017
1998,Jul,Paraiba,0,1/1/1998
1999,Jul,Paraiba,1,1/1/1999
2000,Jul,Paraiba,0,1/1/2000
2001,Jul,Paraiba,8,1/1/2001
2002,Jul,Paraiba,8,1/1/2002
2003,Jul,Paraiba,6,1/1/2003
2004,Jul,Paraiba,1,1/1/2004
2005,Jul,Paraiba,,1/1/2005
2006,Jul,Paraiba,1,1/1/2006
2007,Jul,Paraiba,1,1/1/2007
2008,Jul,Paraiba,0,1/1/2008
2009,Jul,Paraiba,3,1/1/2009
2010,Jul,Paraiba,7,1/1/2010
2011,Jul,Paraiba,6,1/1/2011
2012,Jul,Paraiba,5,1/1/2012
2013,Jul,Paraiba,1,1/1/2013
2014,Jul,Paraiba,9,1/1/2014
2015,Jul,Paraiba,3,1/1/2015
2016,Jul,Paraiba,22,1/1/2016
2017,Jul,Paraiba,2,1/1/2017
1998,Aug,Paraiba,3,1/1/1998
1999,Aug,Paraiba,4,1/1/1999
2000,Aug,Paraiba,7,1/1/2000
2001,Aug,Paraiba,34,1/1/2001
2002,Aug,Paraiba,38,1/1/2002
2003,Aug,Paraiba,14,1/1/2003
2004,Aug,Paraiba,18,1/1/2004
2005,Aug,Paraiba,0,1/1/2005
2006,Aug,Paraiba,3,1/1/2006
2007,Aug,Paraiba,8,1/1/2007
2008,Aug,Paraiba,1,1/1/2008
2009,Aug,Paraiba,4,1/1/2009
2010,Aug,Paraiba,9,1/1/2010
2011,Aug,Paraiba,12,1/1/2011
2012,Aug,Paraiba,13,1/1/2012
2013,Aug,Paraiba,3,1/1/2013
2014,Aug,Paraiba,30,1/1/2014
2015,Aug,Paraiba,5,1/1/2015
2016,Aug,Paraiba,50,1/1/2016
2017,Aug,Paraiba,3,1/1/2017
1998,Sep,Paraiba,50,1/1/1998
1999,Sep,Paraiba,14,1/1/1999
2000,Sep,Paraiba,9,1/1/2000
2001,Sep,Paraiba,98,1/1/2001
2002,Sep,Paraiba,63,1/1/2002
2003,Sep,Paraiba,81,1/1/2003
2004,Sep,Paraiba,34,1/1/2004
2005,Sep,Paraiba,13,1/1/2005
2006,Sep,Paraiba,27,1/1/2006
2007,Sep,Paraiba,22,1/1/2007
2008,Sep,Paraiba,21,1/1/2008
2009,Sep,Paraiba,28,1/1/2009
2010,Sep,Paraiba,37,1/1/2010
2011,Sep,Paraiba,55,1/1/2011
2012,Sep,Paraiba,71,1/1/2012
2013,Sep,Paraiba,25,1/1/2013
2014,Sep,Paraiba,51,1/1/2014
2015,Sep,Paraiba,48,1/1/2015
2016,Sep,Paraiba,131,1/1/2016
2017,Sep,Paraiba,30,1/1/2017
1998,Oct,Paraiba,179,1/1/1998
1999,Oct,Paraiba,48,1/1/1999
2000,Oct,Paraiba,125,1/1/2000
2001,Oct,Paraiba,279,1/1/2001
2002,Oct,Paraiba,193,1/1/2002
2003,Oct,Paraiba,381,1/1/2003
2004,Oct,Paraiba,190,1/1/2004
2005,Oct,Paraiba,155,1/1/2005
2006,Oct,Paraiba,,1/1/2006
2007,Oct,Paraiba,111,1/1/2007
2008,Oct,Paraiba,80,1/1/2008
2009,Oct,Paraiba,117,1/1/2009
2010,Oct,Paraiba,150,1/1/2010
2011,Oct,Paraiba,200,1/1/2011
2012,Oct,Paraiba,136,1/1/2012
2013,Oct,Paraiba,58,1/1/2013
2014,Oct,Paraiba,70,1/1/2014
2015,Oct,Paraiba,121,1/1/2015
2016,Oct,Paraiba,304,1/1/2016
2017,Oct,Paraiba,123,1/1/2017
1998,Nov,Paraiba,46,1/1/1998
1999,Nov,Paraiba,38,1/1/1999
2000,Nov,Paraiba,65,1/1/2000
2001,Nov,Paraiba,294,1/1/2001
2002,Nov,Paraiba,238,1/1/2002
2003,Nov,Paraiba,538,1/1/2003
2004,Nov,Paraiba,331,1/1/2004
2005,Nov,Paraiba,280,1/1/2005
2006,Nov,Paraiba,215,1/1/2006
2007,Nov,Paraiba,256,1/1/2007
2008,Nov,Paraiba,175,1/1/2008
2009,Nov,Paraiba,428,1/1/2009
2010,Nov,Paraiba,451,1/1/2010
2011,Nov,Paraiba,359,1/1/2011
2012,Nov,Paraiba,130,1/1/2012
2013,Nov,Paraiba,95,1/1/2013
2014,Nov,Paraiba,111,1/1/2014
2015,Nov,Paraiba,206,1/1/2015
2016,Nov,Paraiba,132,1/1/2016
2017,Nov,Paraiba,101,1/1/2017
1998,Dec,Paraiba,51,1/1/1998
1999,Dec,Paraiba,40,1/1/1999
2000,Dec,Paraiba,34,1/1/2000
2001,Dec,Paraiba,70,1/1/2001
2002,Dec,Paraiba,163,1/1/2002
2003,Dec,Paraiba,288,1/1/2003
2004,Dec,Paraiba,351,1/1/2004
2005,Dec,Paraiba,159,1/1/2005
2006,Dec,Paraiba,196,1/1/2006
2007,Dec,Paraiba,,1/1/2007
2008,Dec,Paraiba,187,1/1/2008
2009,Dec,Paraiba,270,1/1/2009
2010,Dec,Paraiba,65,1/1/2010
2011,Dec,Paraiba,179,1/1/2011
2012,Dec,Paraiba,62,1/1/2012
2013,Dec,Paraiba,78,1/1/2013
2014,Dec,Paraiba,62,1/1/2014
2015,Dec,Paraiba,122,1/1/2015
2016,Dec,Paraiba,8,1/1/2016
1998,Jan,Paraiba,0,1/1/1998
1999,Jan,Paraiba,7,1/1/1999
2000,Jan,Paraiba,49,1/1/2000
2001,Jan,Paraiba,32,1/1/2001
2002,Jan,Paraiba,47,1/1/2002
2003,Jan,Paraiba,109,1/1/2003
2004,Jan,Paraiba,88,1/1/2004
2005,Jan,Paraiba,55,1/1/2005
2006,Jan,Paraiba,78,1/1/2006
2007,Jan,Paraiba,11,1/1/2007
2008,Jan,Paraiba,35,1/1/2008
2009,Jan,Paraiba,35,1/1/2009
2010,Jan,Paraiba,18,1/1/2010
2011,Jan,Paraiba,,1/1/2011
2012,Jan,Paraiba,31,1/1/2012
2013,Jan,Paraiba,28,1/1/2013
2014,Jan,Paraiba,86,1/1/2014
2015,Jan,Paraiba,120,1/1/2015
2016,Jan,Paraiba,113,1/1/2016
2017,Jan,Paraiba,55,1/1/2017
1998,Feb,Paraiba,,1/1/1998
1999,Feb,Paraiba,22,1/1/1999
2000,Feb,Paraiba,67,1/1/2000
2001,Feb,Paraiba,8,1/1/2001
2002,Feb,Paraiba,24,1/1/2002
2003,Feb,Paraiba,46,1/1/2003
2004,Feb,Paraiba,42,1/1/2004
2005,Feb,Paraiba,77,1/1/2005
2006,Feb,Paraiba,60,1/1/2006
2007,Feb,Paraiba,32,1/1/2007
2008,Feb,Paraiba,38,1/1/2008
2009,Feb,Paraiba,21,1/1/2009
2010,Feb,Paraiba,46,1/1/2010
2011,Feb,Paraiba,8,1/1/2011
2012,Feb,Paraiba,40,1/1/2012
2013,Feb,Paraiba,9,1/1/2013
2014,Feb,Paraiba,52,1/1/2014
2015,Feb,Paraiba,58,1/1/2015
2016,Feb,Paraiba,31,1/1/2016
2017,Feb,Paraiba,60,1/1/2017
1998,Mar,Paraiba,0,1/1/1998
1999,Mar,Paraiba,40,1/1/1999
2000,Mar,Paraiba,52,1/1/2000
2001,Mar,Paraiba,12,1/1/2001
2002,Mar,Paraiba,18,1/1/2002
2003,Mar,Paraiba,76,1/1/2003
2004,Mar,Paraiba,83,1/1/2004
2005,Mar,Paraiba,84,1/1/2005
2006,Mar,Paraiba,56,1/1/2006
2007,Mar,Paraiba,54,1/1/2007
2008,Mar,Paraiba,43,1/1/2008
2009,Mar,Paraiba,57,1/1/2009
2010,Mar,Paraiba,22,1/1/2010
2011,Mar,Paraiba,21,1/1/2011
2012,Mar,Paraiba,55,1/1/2012
2013,Mar,Paraiba,18,1/1/2013
2014,Mar,Paraiba,42,1/1/2014
2015,Mar,Paraiba,55,1/1/2015
2016,Mar,Paraiba,63,1/1/2016
2017,Mar,Paraiba,43,1/1/2017
1998,Apr,Paraiba,0,1/1/1998
1999,Apr,Paraiba,39,1/1/1999
2000,Apr,Paraiba,51,1/1/2000
2001,Apr,Paraiba,43,1/1/2001
2002,Apr,Paraiba,84,1/1/2002
2003,Apr,Paraiba,130,1/1/2003
2004,Apr,Paraiba,68,1/1/2004
2005,Apr,Paraiba,22,1/1/2005
2006,Apr,Paraiba,49,1/1/2006
2007,Apr,Paraiba,14,1/1/2007
2008,Apr,Paraiba,62,1/1/2008
2009,Apr,Paraiba,80,1/1/2009
2010,Apr,Paraiba,71,1/1/2010
2011,Apr,Paraiba,38,1/1/2011
2012,Apr,Paraiba,38,1/1/2012
2013,Apr,Paraiba,72,1/1/2013
2014,Apr,Paraiba,38,1/1/2014
2015,Apr,Paraiba,83,1/1/2015
2016,Apr,Paraiba,167,1/1/2016
2017,Apr,Paraiba,77,1/1/2017
1998,May,Paraiba,0,1/1/1998
1999,May,Paraiba,57,1/1/1999
2000,May,Paraiba,43,1/1/2000
2001,May,Paraiba,26,1/1/2001
2002,May,Paraiba,65,1/1/2002
2003,May,Paraiba,115,1/1/2003
2004,May,Paraiba,9,1/1/2004
2005,May,Paraiba,125,1/1/2005
2006,May,Paraiba,90,1/1/2006
2007,May,Paraiba,14,1/1/2007
2008,May,Paraiba,41,1/1/2008
2009,May,Paraiba,117,1/1/2009
2010,May,Paraiba,39,1/1/2010
2011,May,Paraiba,97,1/1/2011
2012,May,Paraiba,86,1/1/2012
2013,May,Paraiba,85,1/1/2013
2014,May,Paraiba,109,1/1/2014
2015,May,Paraiba,77,1/1/2015
2016,May,Paraiba,72,1/1/2016
2017,May,Paraiba,49,1/1/2017
1998,Jun,Paraiba,36,1/1/1998
1999,Jun,Paraiba,31,1/1/1999
2000,Jun,Paraiba,53,1/1/2000
2001,Jun,Paraiba,43,1/1/2001
2002,Jun,Paraiba,115,1/1/2002
2003,Jun,Paraiba,159,1/1/2003
2004,Jun,Paraiba,147,1/1/2004
2005,Jun,Paraiba,114,1/1/2005
2006,Jun,Paraiba,62,1/1/2006
2007,Jun,Paraiba,57,1/1/2007
2008,Jun,Paraiba,17,1/1/2008
2009,Jun,Paraiba,105,1/1/2009
2010,Jun,Paraiba,55,1/1/2010
2011,Jun,Paraiba,162,1/1/2011
2012,Jun,Paraiba,77,1/1/2012
2013,Jun,Paraiba,52,1/1/2013
2014,Jun,Paraiba,112,1/1/2014
2015,Jun,Paraiba,201,1/1/2015
2016,Jun,Paraiba,238,1/1/2016
2017,Jun,Paraiba,169,1/1/2017
1998,Jul,Paraiba,59,1/1/1998
1999,Jul,Paraiba,94,1/1/1999
2000,Jul,Paraiba,98,1/1/2000
2001,Jul,Paraiba,122,1/1/2001
2002,Jul,Paraiba,172,1/1/2002
2003,Jul,Paraiba,101,1/1/2003
2004,Jul,Paraiba,148,1/1/2004
2005,Jul,Paraiba,155,1/1/2005
2006,Jul,Paraiba,139,1/1/2006
2007,Jul,Paraiba,60,1/1/2007
2008,Jul,Paraiba,87,1/1/2008
2009,Jul,Paraiba,34,1/1/2009
2010,Jul,Paraiba,,1/1/2010
2011,Jul,Paraiba,262,1/1/2011
2012,Jul,Paraiba,111,1/1/2012
2013,Jul,Paraiba,168,1/1/2013
2014,Jul,Paraiba,215,1/1/2014
2015,Jul,Paraiba,137,1/1/2015
2016,Jul,Paraiba,504,1/1/2016
2017,Jul,Paraiba,891,1/1/2017
1998,Aug,Paraiba,42,1/1/1998
1999,Aug,Paraiba,938,1/1/1999
2000,Aug,Paraiba,849,1/1/2000
2001,Aug,Paraiba,342,1/1/2001
2002,Aug,Paraiba,1.593,1/1/2002
2003,Aug,Paraiba,1.896,1/1/2003
2004,Aug,Paraiba,1.237,1/1/2004
2005,Aug,Paraiba,800,1/1/2005
2006,Aug,Paraiba,844,1/1/2006
2007,Aug,Paraiba,580,1/1/2007
2008,Aug,Paraiba,,1/1/2008
2009,Aug,Paraiba,844,1/1/2009
2010,Aug,Paraiba,733,1/1/2010
2011,Aug,Paraiba,435,1/1/2011
2012,Aug,Paraiba,522,1/1/2012
2013,Aug,Paraiba,481,1/1/2013
2014,Aug,Paraiba,646,1/1/2014
2015,Aug,Paraiba,651,1/1/2015
2016,Aug,Paraiba,1.01,1/1/2016
2017,Aug,Paraiba,987,1/1/2017
1998,Sep,Paraiba,61,1/1/1998
1999,Sep,Paraiba,878,1/1/1999
2000,Sep,Paraiba,381,1/1/2000
2001,Sep,Paraiba,258,1/1/2001
2002,Sep,Paraiba,1.071,1/1/2002
2003,Sep,Paraiba,2.446,1/1/2003
2004,Sep,Paraiba,1.36,1/1/2004
2005,Sep,Paraiba,386,1/1/2005
2006,Sep,Paraiba,866,1/1/2006
2007,Sep,Paraiba,960,1/1/2007
2008,Sep,Paraiba,413,1/1/2008
2009,Sep,Paraiba,149,1/1/2009
