year,month,state,no_of_fires,date
1998,Dec,Acre,7,1/1/1998
1999,Dec,Acre,0,1/1/1999
2000,Dec,Acre,0,1/1/2000
2001,Dec,Acre,0,1/1/2001
2002,Dec,Acre,1,1/1/2002
2003,Dec,Acre,1,1/1/2003
2004,Dec,Acre,7,1/1/2004
2005,Dec,Acre,2,1/1/2005
2006,Dec,Acre,0,1/1/2006
2007,Dec,Acre,0,1/1/2007
2008,Dec,Acre,0,1/1/2008
2009,Dec,Acre,1,1/1/2009
2010,Dec,Acre,0,1/1/2010
2011,Dec,Acre,4,1/1/2011
2012,Dec,Acre,1,1/1/2012
2013,Dec,Acre,3,1/1/2013
2014,Dec,Acre,6,1/1/2014
2015,Dec,Acre,8,1/1/2015
2016,Dec,Acre,6,1/1/2016
1998,Jan,alagoas,0,1/1/1998
1999,Jan,alagoas,58,1/1/1999
2000,Jan,alagoas,11,1/1/2000
2001,Jan,alagoas,5,1/1/2001
2002,Jan,alagoas,12,1/1/2002
2003,Jan,alagoas,150,1/1/2003
2004,Jan,alagoas,9,1/1/2004
2005,Jan,alagoas,83,1/1/2005
2006,Jan,alagoas,29,1/1/2006
2007,Jan,alagoas,33,1/1/2007
2008,Jan,alagoas,55,1/1/2008
2009,Jan,alagoas,104,1/1/2009
2010,Jan,alagoas,23,1/1/2010
2011,Jan,alagoas,41,1/1/2011
2012,Jan,alagoas,36,1/1/2012
2013,Jan,alagoas,49,1/1/2013
2014,Jan,alagoas,54,1/1/2014
2015,Jan,alagoas,81,1/1/2015
2016,Jan,alagoas,24,1/1/2016
2017,Jan,alagoas,38,1/1/2017
2017,Jan,alagoas,38,1/1/2017
1998,Feb,alagoas,0,1/1/1998
1999,Feb,alagoas,20,1/1/1999
2000,Feb,alagoas,16,1/1/2000
2001,Feb,alagoas,4,1/1/2001
2002,Feb,alagoas,15,1/1/2002
2003,Feb,alagoas,33,1/1/2003
2004,Feb,alagoas,7,1/1/2004
2005,Feb,alagoas,31,1/1/2005
2006,Feb,alagoas,14,1/1/2006
2007,Feb,alagoas,28,1/1/2007
2008,Feb,alagoas,74,1/1/2008
2009,Feb,alagoas,32,1/1/2009
2010,Feb,alagoas,26,1/1/2010
2011,Feb,alagoas,33,1/1/2011
2012,Feb,alagoas,41,1/1/2012
2013,Feb,alagoas,19,1/1/2013
2014,Feb,alagoas,29,1/1/2014
2015,Feb,alagoas,46,1/1/2015
2016,Feb,alagoas,14,1/1/2016
2017,Feb,alagoas,21,1/1/2017
1998,Mar,alagoas,0,1/1/1998
1999,Mar,alagoas,52,1/1/1999
2000,Mar,alagoas,32,1/1/2000
2001,Mar,alagoas,0,1/1/2001
2002,Mar,alagoas,27,1/1/2002
2003,Mar,alagoas,15,1/1/2003
2004,Mar,alagoas,16,1/1/2004
2005,Mar,alagoas,35,1/1/2005
2006,Mar,alagoas,37,1/1/2006
2007,Mar,alagoas,7,1/1/2007
2008,Mar,alagoas,31,1/1/2008
2009,Mar,alagoas,31,1/1/2009
2010,Mar,alagoas,70,1/1/2010
2011,Mar,alagoas,34,1/1/2011
2012,Mar,alagoas,44,1/1/2012
2013,Mar,alagoas,31,1/1/2013
2014,Mar,alagoas,28,1/1/2014
2015,Mar,alagoas,32,1/1/2015
2016,Mar,alagoas,9,1/1/2016
2017,Mar,alagoas,23,1/1/2017
1998,Apr,alagoas,0,1/1/1998
1999,Apr,alagoas,4,1/1/1999
2000,Apr,alagoas,20,1/1/2000
2001,Apr,alagoas,0,1/1/2001
2002,Apr,alagoas,6,1/1/2002
2003,Apr,alagoas,20,1/1/2003
2004,Apr,alagoas,6,1/1/2004
2005,Apr,alagoas,1,1/1/2005
2006,Apr,alagoas,2,1/1/2006
2007,Apr,alagoas,1,1/1/2007
2008,Apr,alagoas,18,1/1/2008
2009,Apr,alagoas,5,1/1/2009
2010,Apr,alagoas,3,1/1/2010
2011,Apr,alagoas,17,1/1/2011
2012,Apr,alagoas,18,1/1/2012
2013,Apr,alagoas,25,1/1/2013
2014,Apr,alagoas,16,1/1/2014
2015,Apr,alagoas,63,1/1/2015
2016,Apr,alagoas,13,1/1/2016
2017,Apr,alagoas,7,1/1/2017
1998,May,alagoas,0,1/1/1998
1999,May,alagoas,1,1/1/1999
2000,May,alagoas,1,1/1/2000
2001,May,alagoas,2,1/1/2001
2002,May,alagoas,1,1/1/2002
2003,May,alagoas,1,1/1/2003
2004,May,alagoas,3,1/1/2004
2005,May,alagoas,0,1/1/2005
2006,May,alagoas,0,1/1/2006
2007,May,alagoas,0,1/1/2007
2008,May,alagoas,0,1/1/2008
